,Equipe,PDV,Taille,Poids,Unit,Exp,Pays
Derrick Rose,NYK,G,1.88,90.7,kg,12,États-Unis
Terrence Ross,ORL,G-F,1.98,93.4,kg,9,États-Unis
Terry Rozier,CHA,G,1.85,86.2,kg,6,États-Unis
Ricky Rubio,CLE,G,1.88,86.2,kg,10,Espagne
D 'Angelo Russell,MIN,G,1.93,87.5,kg,6,États-Unis
Domantas Sabonis,IND,F-C,2.11,108.9,kg,5,Lituanie
Luka Samanic,NYK,F,2.08,103.0,kg,2,Croatie
Dario Saric,PHX,F-C,2.08,102.1,kg,5,Croatie
Tomas Satoransky,NOP,G,2.01,95.3,kg,5,République_tchèque
Dennis Schroder,BOS,G,1.85,78.0,kg,8,Allemagne
Jay Scrubb,LAC,G,1.96,99.8,kg,1,États-Unis
Wayne Selden,NYK,G,1.93,105.2,kg,3,États-Unis
Alperen Sengun,HOU,C,2.08,110.2,kg,0,Turquie
Collin Sexton,CLE,G,1.85,86.2,kg,3,États-Unis
Landry Shamet,PHX,G,1.93,86.2,kg,3,États-Unis
Day'Ron Sharpe,BKN,F,2.06,120.2,kg,0,États-Unis
Pascal Siakam,TOR,F,2.03,104.3,kg,5,Cameroun
Ben Simmons,PHI,G-F,2.11,108.9,kg,4,Australie
Marko Simonovic,CHI,C,2.11,99.8,kg,0,Monténégro
Anfernee Simons,POR,G,1.90,82.1,kg,3,États-Unis
Jericho Sims,NYK,C,2.06,113.4,kg,0,États-Unis
Javonte Smart,MIL,G,1.93,93.0,kg,0,États-Unis
Marcus Smart,BOS,G,1.93,99.8,kg,7,États-Unis
Chris Smith,DET,F,2.06,97.5,kg,0,États-Unis
Ish Smith,CHA,G,1.83,79.4,kg,11,États-Unis
Jalen Smith,PHX,F-C,2.08,97.5,kg,1,États-Unis
Dennis SmithJr.,POR,G,1.88,93.0,kg,4,États-Unis
Tony Snell,POR,G,1.98,96.6,kg,8,États-Unis
Jaden Springer,PHI,G,1.93,91.6,kg,0,États-Unis
Lamar Stevens,CLE,F,1.98,104.3,kg,1,États-Unis
Isaiah Stewart,DET,F-C,2.03,113.4,kg,1,États-Unis
Max Strus,MIA,G-F,1.96,97.5,kg,2,États-Unis
Jalen Suggs,ORL,G,1.96,93.0,kg,0,États-Unis
Jae'Sean Tate,HOU,F,1.93,104.3,kg,1,États-Unis
Jayson Tatum,BOS,F-G,2.03,95.3,kg,4,États-Unis
Garrett Temple,NOP,G-F,1.96,88.5,kg,11,États-Unis
Daniel Theis,HOU,F-C,2.06,111.1,kg,4,Allemagne
Brodric Thomas,BOS,G,1.96,83.9,kg,1,États-Unis
Cam Thomas,BKN,G,1.90,95.3,kg,0,Japan
Matt Thomas,CHI,G,1.90,86.2,kg,2,États-Unis
Klay Thompson,GSW,G,1.98,99.8,kg,8,États-Unis
Tristan Thompson,SAC,C-F,2.06,115.2,kg,10,Canada
JT Thor,CHA,F,2.06,92.1,kg,0,États-Unis
Matisse Thybulle,PHI,G-F,1.96,91.2,kg,2,États-Unis
Killian Tillie,MEM,F-C,2.06,99.8,kg,1,France
Xavier Tillman,MEM,F,2.03,111.1,kg,1,États-Unis
Isaiah Todd,WAS,F,2.06,99.3,kg,0,États-Unis
Obi Toppin,NYK,F,2.06,99.8,kg,1,États-Unis
Juan Toscano-Anderson,GSW,F,1.98,94.8,kg,2,États-Unis
Karl Anthony Towns,MIN,C-F,2.11,112.5,kg,6,États-Unis
Gary TrentJr.,TOR,G-F,1.96,94.8,kg,3,États-Unis
P.J. Tucker,MIA,F,1.96,111.1,kg,10,États-Unis
Myles Turner,IND,C-F,2.11,113.4,kg,6,États-Unis
Jonas Valanciunas,NOP,C,2.11,120.2,kg,9,Lituanie
Denzel Valentine,CLE,G,1.93,99.8,kg,4,États-Unis
Fred VanVleet,TOR,G,1.85,89.4,kg,5,États-Unis
Jarred Vanderbilt,MIN,F,2.06,97.1,kg,3,États-Unis
Devin Vassell,SAS,G-F,1.96,90.7,kg,1,États-Unis
Gabe Vincent,MIA,G,1.90,90.7,kg,2,États-Unis
Nikola Vucevic,CHI,C,2.08,117.9,kg,10,Monténégro
Dean Wade,CLE,F-C,2.06,103.4,kg,2,États-Unis
Franz Wagner,ORL,F,2.08,99.8,kg,0,Allemagne
Moritz Wagner,ORL,F-C,2.11,111.1,kg,3,Allemagne
Ish Wainright,PHX,F,1.96,113.4,kg,0,États-Unis
Kemba Walker,NYK,G,1.83,83.5,kg,10,États-Unis
Lonnie WalkerIV,SAS,G-F,1.93,92.5,kg,3,États-Unis
John Wall,HOU,G,1.90,95.3,kg,10,États-Unis
Brad Wanamaker,IND,G,1.90,95.3,kg,3,États-Unis
T.J. Warren,IND,F,2.03,99.8,kg,7,États-Unis
P.J. Washington,CHA,F,2.01,104.3,kg,2,États-Unis
Duane WashingtonJr.,IND,G,1.90,89.4,kg,0,Allemagne
Yuta Watanabe,TOR,G-F,2.06,97.5,kg,3,Japan
Trendon Watford,POR,F,2.03,107.5,kg,0,États-Unis
Paul Watson,OKC,G,1.98,95.3,kg,2,États-Unis
Russell Westbrook,LAL,G,1.90,90.7,kg,13,États-Unis
Coby White,CHI,G,1.93,88.5,kg,2,États-Unis
Derrick White,SAS,G,1.93,86.2,kg,4,États-Unis
Hassan Whiteside,UTA,C,2.13,120.2,kg,9,États-Unis
Joe Wieskamp,SAS,G-F,1.98,93.0,kg,0,États-Unis
Aaron Wiggins,OKC,G,1.93,86.2,kg,0,États-Unis
Andrew Wiggins,GSW,F,2.01,89.4,kg,7,Canada
Grant Williams,BOS,F,1.98,107.0,kg,2,États-Unis
Kenrich Williams,OKC,G-F,1.98,95.3,kg,3,États-Unis
Lou Williams,ATL,G,1.88,79.4,kg,16,États-Unis
Patrick Williams,CHI,F,2.01,97.5,kg,1,États-Unis
Ziaire Williams,MEM,F,2.06,83.9,kg,0,États-Unis
Robert WilliamsIII,BOS,C-F,2.06,107.5,kg,3,États-Unis
Zion Williamson,NOP,F,1.98,128.8,kg,2,États-Unis
Dylan Windler,CLE,G-F,1.98,88.9,kg,1,États-Unis
Justise Winslow,LAC,F-G,1.98,100.7,kg,6,États-Unis
Cassius Winston,WAS,G,1.85,83.9,kg,1,États-Unis
James Wiseman,GSW,C,2.13,108.9,kg,1,États-Unis
Christian Wood,HOU,F,2.06,97.1,kg,5,États-Unis
Robert WoodardII,SAC,F,1.98,106.6,kg,1,États-Unis
Delon Wright,ATL,G,1.96,83.9,kg,6,États-Unis
McKinley WrightIV,MIN,G,1.80,87.1,kg,0,États-Unis
Thaddeus Young,SAS,F,2.03,106.6,kg,14,États-Unis
Trae Young,ATL,G,1.85,74.4,kg,3,États-Unis
Omer Yurtseven,MIA,C,2.11,124.7,kg,0,Turquie
Cody Zeller,POR,F-C,2.11,108.9,kg,8,États-Unis
Ivica Zubac,LAC,C,2.13,108.9,kg,5,Croatie
